Ticker,Sector,Window,Window_Weeks,N_Folds,N_Test,F1_Tech,AUC_Tech,Precision_Tech,Recall_Tech,F1_Enhanced,AUC_Enhanced,Precision_Enhanced,Recall_Enhanced,F1_Lift_%,AUC_Lift_%,DM_Stat,P_Value,Significant
MFPC.CA,Industrial,Short,26,35,455,0.4539810842752019,0.5187414965986393,0.5156881214024072,0.5208503401360544,0.4175501062896021,0.5312471655328798,0.4504015032586461,0.4669274376417233,-8.024778839356985,2.4107708784123587,2.851842269246097,0.00454495510039421,Yes
MFPC.CA,Industrial,Medium,52,33,429,0.4651851070300268,0.5489177489177489,0.49266583584765405,0.5127104377104378,0.48321312630561397,0.529978354978355,0.4864912864912865,0.5786435786435786,3.8754506546194083,-3.4503154574132466,0.6782782503544719,0.4979618301969304,No
MFPC.CA,Industrial,Long,104,29,377,0.4256400180842371,0.5477969348659004,0.5287629994526546,0.4318144499178982,0.48616349369525413,0.5350437876299945,0.508385579937304,0.5476190476190478,14.219404435566721,-2.3280793345490096,0.7477394148121691,0.45508474238264474,No
OCDI.CA,Real Estate,Short,26,98,1222,0.46387334779486156,0.5421701820637991,0.49455795386646445,0.5169353105523319,0.46410339298406617,0.5476697061803445,0.4846403891616657,0.5150713057627951,0.049592241136117446,1.01435385022673,2.3560547279466717,0.018627549515869868,Yes
OCDI.CA,Real Estate,Medium,52,96,1235,0.45995375923842596,0.5354492291334397,0.5127569214411319,0.4874474063947748,0.4802082990244957,0.565363788258525,0.5330645670119353,0.5122271588061061,4.403603488230301,5.58681523801955,2.1260923026776943,0.03369365019435411,Yes
OCDI.CA,Real Estate,Long,104,92,1196,0.4410177063629749,0.5135944068009285,0.5167772143315621,0.4570914894284459,0.47097762899519524,0.5452428006775832,0.5264261402848359,0.4938280318715101,6.793360493232026,6.162137565668974,1.2290177243483924,0.21930711459790908,No
ORAS.CA,Real Estate,Short,26,15,78,0.22578532578532576,0.6805555555555555,0.12870370370370368,1.0,0.0,0.638888888888889,0.0,0.0,-100.0,-6.122448979591816,5.4733837693308915,5.317077886868304e-07,Yes
ORAS.CA,Real Estate,Medium,52,13,78,0.2371813371813372,0.7152777777777778,0.13564814814814816,1.0,0.0,0.611111111111111,0.0,0.0,-100.0,-14.563106796116514,3.7757030645745595,0.00031216248086174403,Yes
ORAS.CA,Real Estate,Long,104,9,65,0.20017316017316017,0.7083333333333334,0.11555555555555555,0.8,0.0,0.6166666666666667,0.0,0.0,-100.0,-12.941176470588237,3.2283496961259206,0.0019653685633724827,Yes
ORHD.CA,Consumer,Short,26,70,637,0.38678244051182703,0.5094708013075361,0.42400671890467806,0.45718334953028833,0.39812340047223477,0.5492792355037254,0.4721655328798186,0.44168286362163917,2.9321289625765607,7.813683157900819,4.007196679832099,6.871789439455434e-05,Yes
ORHD.CA,Consumer,Medium,52,68,624,0.41606089702064936,0.5369047619047619,0.4892834595959596,0.4609953703703704,0.4248975470192575,0.5629990379990378,0.5304623617123617,0.45007440476190474,2.123883802079483,4.860131245940531,1.6359263706237614,0.10236006439391043,No
ORHD.CA,Consumer,Long,104,64,572,0.4494835786613862,0.5555268595041322,0.5049482083572993,0.476984126984127,0.39674085530755954,0.5279589728453365,0.4717327495736585,0.40642135642135635,-11.734071244805111,-4.962475924818997,-0.643905775221119,0.5198950815079868,No
PHDC.CA,Real Estate,Short,26,68,884,0.4411714102890574,0.5383467023172905,0.4763803190273779,0.4905812324929972,0.4431029034402737,0.5497527798998387,0.5300737661031778,0.45912114845938373,0.4378101359629812,2.118723405094006,2.2917722557589597,0.02215338045994386,Yes
PHDC.CA,Real Estate,Medium,52,66,858,0.4572513899772555,0.5263686650050287,0.4970865414047232,0.5267376142376142,0.4646553214066583,0.5388992741265468,0.5163299663299663,0.5048280423280423,1.6192255708115073,2.3805765720112624,3.5778343370756933,0.0003658833671644768,Yes
PHDC.CA,Real Estate,Long,104,62,806,0.4718793371370022,0.5394189591770238,0.4849787309464729,0.5321236559139784,0.4848235150891697,0.5599823115952148,0.5217072354169128,0.5116999487967229,2.7431118367468144,3.8121300833704472,2.2618505410498706,0.02397258296225191,Yes
SAUD.CA,Banking,Short,26,98,1222,0.45484292137098276,0.5426550842774247,0.49095295956998086,0.5282805256209512,0.4108368978436826,0.5463763777593567,0.45647378626102025,0.4737001473703601,-9.674993598813774,0.6857566785515447,1.103256758206344,0.27013306998941244,No
SAUD.CA,Banking,Medium,52,96,1222,0.4597461764315068,0.5368460440268952,0.4890323919579238,0.5195165945165945,0.4462825448819454,0.5361099597801726,0.5135382938574428,0.4736214730895582,-2.9284923376773726,-0.1371127262485109,0.9787189561257981,0.3279127372919306,No
SAUD.CA,Banking,Long,104,92,1183,0.4733226649473715,0.540110286538858,0.5275161346589917,0.5067166960024103,0.4930374175849289,0.5393217893217892,0.5349460063745778,0.5281896674753817,4.16518246379549,-0.14598818736106833,1.1585672151961268,0.24686665829153953,No
SKPC.CA,Industrial,Short,26,80,1040,0.4491795704295704,0.5036679292929293,0.5194991813741814,0.4934537337662338,0.46260055271955436,0.5479044913419913,0.5159000721500722,0.5120801767676768,2.987887956958699,8.78288242635643,3.72951951502558,0.00020221435766232254,Yes
SKPC.CA,Industrial,Medium,52,78,1014,0.4488940897996626,0.4942099567099568,0.5055269516807979,0.4825110075110075,0.47315366681973114,0.5151140526140525,0.5019372009756626,0.5246045621045621,5.404298602125808,4.229800638428648,1.884637976705954,0.059764826103920754,No
SKPC.CA,Industrial,Long,104,74,962,0.42583070524246996,0.5273955773955774,0.5030693030693031,0.4390712140712141,0.4896429100376469,0.58252067002067,0.5297972672972673,0.5391633516633517,14.985346056443237,10.452323642400502,2.482837144117127,0.013203790853845598,Yes
SWDY.CA,Industrial,Short,26,76,988,0.4767890355758135,0.5276320536188956,0.49405371675108517,0.5427422723475355,0.5009251669111944,0.5399483557378294,0.5152610182215445,0.5613147451963242,5.062224492270868,2.3342596482642275,3.1265395603296056,0.0018205174812431224,Yes
SWDY.CA,Industrial,Medium,52,74,962,0.4857391911958476,0.5069171444171443,0.5038677913677914,0.5326162201162201,0.5172697669988691,0.5360584610584611,0.5309571059571059,0.5690919815919816,6.4912562903141415,5.748733686019562,1.8383047098790914,0.06632600223638363,No
SWDY.CA,Industrial,Long,104,70,910,0.4709777300688403,0.5262435580292724,0.49548899513185224,0.5097588126159553,0.49181541749321495,0.5294356833642547,0.505754761111904,0.5297799422799422,4.4243466503881,0.6065870614999154,0.5908856733231563,0.5547439123557436,No
